Nk,rep,seed,N_vertices,nn_mean,nn_std,CV,hull_vol,time_s
5000,7,212352,300,0.323956138165034,0.277027838294444,0.855139957722663,241.446354132937,0.00681570833333333
5000,8,212353,312,0.336987957554028,0.29140670087804,0.864739212027539,245.904928988531,0.00727670833333333
5000,9,212354,282,0.365427608627117,0.302502716955762,0.827804768479978,245.357223063801,0.00628529166666667
5000,10,212355,288,0.319749347568991,0.301036498187286,0.941476504881162,238.775586479532,0.00668308333333333
5000,11,212356,300,0.342607421819168,0.294744779003092,0.86029887338127,249.637165653018,0.007069
5000,12,212357,276,0.377691648553961,0.336259011945778,0.890300363360396,245.127938490495,0.00673195833333333
5000,13,212358,326,0.316216088617237,0.278615007207145,0.881090549268017,246.18513454504,0.0067795
5000,14,212359,316,0.308876167004018,0.290063047534411,0.93909170897811,245.367707635234,0.00656441666666667
5000,15,212360,314,0.289363829988823,0.270625121799257,0.935241705259808,249.228879817521,0.00654954166666667
5000,16,212361,282,0.347165501020316,0.297673963342661,0.857441083482663,242.88969724281,0.00671583333333333
5000,17,212362,288,0.332581242832139,0.318968846420198,0.959070462615322,241.48358928867,0.00645941666666667
5000,18,212363,332,0.288837341003091,0.283482705990684,0.981461417025198,244.376267324861,0.006511375
5000,19,212364,318,0.341220843638761,0.30770522176703,0.901777331319148,248.122961222815,0.006643125
5000,20,212365,308,0.304288998654424,0.293157793293686,0.963418968776524,247.740523531298,0.009027875
5000,21,212366,292,0.32672843573705,0.293920677765886,0.899587074822076,245.020844008599,0.007619
5000,22,212367,264,0.36940139539344,0.304276801285077,0.823702360303755,241.71591441496,0.00681604166666667
5000,23,212368,310,0.321109904264473,0.308117978611875,0.959540563900211,245.235479852631,0.007827
5000,24,212369,304,0.320314300844485,0.281936115370937,0.880185850671147,243.383772948402,0.00716933333333333
5000,25,212370,282,0.316170952672505,0.316637850343597,1.00147672538273,242.830348875935,0.00722775
5000,26,212371,274,0.339642849340931,0.29727057676897,0.87524462047653,245.34213390889,0.00683083333333333
5000,27,212372,314,0.313385986831784,0.273978716167721,0.874253245773827,244.817593616769,0.00700829166666667
5000,28,212373,278,0.326760458349415,0.301987112823339,0.924184995788001,244.605597220722,0.007045125
5000,29,212374,318,0.327495335852403,0.274311430978288,0.837604084541577,247.613225882716,0.00729845833333333
5000,30,212375,272,0.394787010234204,0.290851966484435,0.736731348662889,246.707058889254,0.00649629166666667
5000,31,212376,284,0.302464572596462,0.259244324511331,0.857106411788617,239.06193870958,0.00647595833333333
5000,32,212377,280,0.34762359238179,0.301905084778741,0.868482724979041,243.765786752516,0.00641720833333333
5000,33,212378,276,0.348149228356985,0.310038004417668,0.890531930462191,241.926574860143,0.00629008333333333
5000,34,212379,322,0.319540676728312,0.29606225898009,0.926524478859436,244.875055368025,0.00624279166666667
5000,35,212380,318,0.315491425472623,0.29601593081171,0.938269337647645,242.011970828716,0.00637941666666667
5000,36,212381,300,0.333795088685226,0.306076940208842,0.916960586251998,241.706635225573,0.006459
5000,37,212382,278,0.323821848895465,0.304282964873905,0.939661625402347,240.190142428454,0.00652754166666667
5000,38,212383,286,0.339446557727128,0.316533826094158,0.932499737848606,245.670614147606,0.006844
5000,39,212384,306,0.342751188351617,0.310556622783332,0.906070156246232,246.264468889657,0.00663966666666667
5000,40,212385,312,0.340525382484628,0.302479216031293,0.888272157054101,244.305025519517,0.006850875
5000,41,212386,318,0.341756827914493,0.303234674523684,0.887281978751141,253.222315852179,0.0067505
5000,42,212387,342,0.305029626725352,0.302268076065951,0.990946614959837,246.303194547752,0.007137875
5000,43,212388,290,0.355408933838966,0.286238163136463,0.805376949995737,248.038419980277,0.00637533333333333
5000,44,212389,282,0.32258915860492,0.314500683331435,0.974926388386814,240.256675193008,0.00652458333333333
5000,45,212390,310,0.311786531176783,0.280489903500258,0.899621617526578,237.5132664714,0.006596125
5000,46,212391,332,0.296031414373805,0.273757796486416,0.924759276192007,246.871649067286,0.00655116666666667
5000,47,212392,302,0.358693880274237,0.279913811219099,0.780369631634341,244.503105298564,0.00599620833333333
5000,48,212393,320,0.310262339558551,0.278092864378119,0.89631524333181,239.198183311746,0.00647020833333333
5000,49,212394,274,0.347048790147534,0.324902542139919,0.936186932107727,240.935821562692,0.00599170833333333
5000,50,212395,314,0.340875814370955,0.293671209270853,0.861519641142004,245.77967946378,0.00657679166666667
10000,1,312346,420,0.267912245022916,0.268193237936522,1.00104882445213,237.035539098795,0.01037075
10000,2,312347,406,0.314145632697462,0.269471750350338,0.857792444976793,235.887047211907,0.009701625
10000,3,312348,398,0.2799123020508,0.286853757391335,1.02479867904939,236.894598617832,0.009802125
10000,4,312349,392,0.292110204550562,0.251376821383273,0.860554740872676,237.329708142245,0.0100972083333333
10000,5,312350,392,0.286348971815338,0.241462693751794,0.843246239792715,237.818306480796,0.0100516666666667
10000,6,312351,358,0.293117652117197,0.276875011596407,0.944586617682461,232.53520705354,0.009777875
10000,7,312352,384,0.297638237040365,0.249293992954423,0.837573812536104,235.887836013603,0.0102015833333333
10000,8,312353,386,0.303903041686958,0.283104994689504,0.931563544471273,236.255782664998,0.0101849166666667
10000,9,312354,404,0.258802598682441,0.247922720341774,0.957960706746936,236.783137028385,0.0101395416666667
10000,10,312355,374,0.292348677931528,0.266168226235036,0.910447853290363,235.91801070222,0.010397375
10000,11,312356,408,0.300646123597426,0.26277077749874,0.874020174797256,237.283268466011,0.010195375
10000,12,312357,400,0.290955915215802,0.254602045076394,0.875053682574404,238.961907177849,0.00978925
10000,13,312358,378,0.27335748984658,0.239080211269194,0.874606404248799,232.246082142613,0.010175375
10000,14,312359,388,0.299641662028971,0.267060460686647,0.891266117262511,234.071027931229,0.00984725
10000,15,312360,396,0.258308679590331,0.238662705317498,0.923943808996309,234.589529173785,0.0096895
10000,16,312361,388,0.274461171250695,0.239573932798556,0.872888254855283,236.210585055157,0.009945625
10000,17,312362,378,0.297986402343563,0.242310016860048,0.813157966116442,237.361034573126,0.00984991666666667
10000,18,312363,422,0.284159216755511,0.248451873552348,0.874340365901681,238.026242517126,0.0101342916666667
10000,19,312364,372,0.295399457684895,0.282200306069472,0.955317617307537,235.739373822865,0.0102205416666667
10000,20,312365,404,0.287139868679952,0.254020429120823,0.884657467765145,237.458961336056,0.009983125
10000,21,312366,420,0.255124525864455,0.25053986028104,0.982029694840663,235.004775384335,0.0101153333333333
10000,22,312367,370,0.30911405743504,0.297281147093766,0.961719921638436,233.622296731952,0.00990741666666667
10000,23,312368,400,0.273073660137147,0.255872045642928,0.937007419589354,238.813014628363,0.0101140833333333
10000,24,312369,390,0.281937338628283,0.236304377961278,0.838145025809548,237.122374537152,0.0100366666666667
10000,25,312370,402,0.276985934688298,0.25433174768283,0.918211778403256,236.900057816095,0.0101347083333333
10000,26,312371,370,0.290863852371785,0.268719332911608,0.923866375008085,231.887160404163,0.0100216666666667
10000,27,312372,416,0.271518965732776,0.257404619472294,0.948017088889576,234.697224546538,0.0101809583333333
