Nk,N_target,rep,seed,poolN,forcedN,N_vertices,nn_mean,nn_std,CV
10000,395,38,320038,3874,138,395,0.615668479907694,0.27947480614354,0.453937167914526
10000,395,39,320039,3916,138,395,0.615586275216317,0.27500115770042,0.446730488920964
10000,395,40,320040,3980,138,395,0.61275900607549,0.300266555652059,0.490023896303315
10000,395,41,320041,4016,138,395,0.629879607363618,0.284894729591218,0.452300290818518
10000,395,42,320042,3916,138,395,0.621316461324778,0.279590476536038,0.449996891986239
10000,395,43,320043,3912,138,395,0.626697555108119,0.294093861506202,0.469275584544868
10000,395,44,320044,4020,138,395,0.619121426299757,0.305397322653687,0.493275324808132
10000,395,45,320045,3950,138,395,0.626373382412165,0.278801204971859,0.445103851473054
10000,395,46,320046,4092,138,395,0.611505507745851,0.307725296355059,0.503225714988905
10000,395,47,320047,3912,138,395,0.622442998344506,0.290340073622714,0.466452469374583
10000,395,48,320048,3936,138,395,0.632080781874466,0.280372604871397,0.443570842384954
10000,395,49,320049,3844,138,395,0.615447417541024,0.301105721955621,0.48924686882052
10000,395,50,320050,3914,138,395,0.62075982591089,0.270927393906412,0.436444793296439
50000,697,1,420001,7036,243,697,0.456130914168892,0.210787356900791,0.462120304397396
50000,697,2,420002,7056,243,697,0.453833837150212,0.20951712852159,0.461660439065594
50000,697,3,420003,6972,243,697,0.449437379750283,0.219506120337048,0.488402011552777
50000,697,4,420004,6958,243,697,0.455945683777223,0.211915483307295,0.464782299399587
50000,697,5,420005,7036,243,697,0.454683350266283,0.214641245507881,0.472067528714604
50000,697,6,420006,6972,243,697,0.450019136380449,0.220594268466431,0.49018864006694
50000,697,7,420007,6894,243,697,0.454150965735892,0.212112171025286,0.467052119291625
50000,697,8,420008,7028,243,697,0.447247126720436,0.213352569558748,0.47703508152912
50000,697,9,420009,6896,243,697,0.450375735800515,0.205736164385811,0.456810054431835
50000,697,10,420010,6890,243,697,0.455585272755864,0.213802524959482,0.46929200249643
50000,697,11,420011,6972,243,697,0.454599613193114,0.20960850617558,0.461083775904002
50000,697,12,420012,6920,243,697,0.455792585206462,0.214556603996845,0.470732984608902
50000,697,13,420013,6988,243,697,0.452758950108737,0.213219423364491,0.470933646509436
50000,697,14,420014,7058,243,697,0.450999664823481,0.209079844612435,0.463592017733023
50000,697,15,420015,6908,243,697,0.450994118842369,0.213539721055763,0.473486708881893
50000,697,16,420016,6954,243,697,0.446567470600513,0.219044518639654,0.490507108243012
50000,697,17,420017,7152,243,697,0.448213961575124,0.220749801410622,0.492509873264229
50000,697,18,420018,6988,243,697,0.451496833288599,0.216569561076344,0.479670166231071
50000,697,19,420019,6872,243,697,0.447473526859007,0.217761521691581,0.48664671454451
50000,697,20,420020,6966,243,697,0.447772220278949,0.213050948783234,0.475802068852126
50000,697,21,420021,6864,243,697,0.443455257858133,0.218292752118604,0.49225428777854
50000,697,22,420022,6878,243,697,0.446443390862531,0.220951462126141,0.494914846200906
50000,697,23,420023,6854,243,697,0.454484299503723,0.208841828404588,0.459513845984634
50000,697,24,420024,7008,243,697,0.456497626951874,0.213293598054971,0.467239226366138
50000,697,25,420025,6874,243,697,0.451814983420277,0.208498308663215,0.461468336186784
50000,697,26,420026,6906,243,697,0.453574852028353,0.215868900433511,0.475927841828446
50000,697,27,420027,7008,243,697,0.446606903109972,0.211222921110362,0.472950417110661
50000,697,28,420028,7028,243,697,0.452306394246333,0.205320332371916,0.453940813094266
50000,697,29,420029,6908,243,697,0.45296090506868,0.197741406321362,0.4365529212535
50000,697,30,420030,7060,243,697,0.448235147313193,0.212261759777892,0.473550012867642
50000,697,31,420031,7094,243,697,0.452381210322996,0.206645592731618,0.456795260316128
50000,697,32,420032,7016,243,697,0.44776534860314,0.213350961906755,0.476479393888629
50000,697,33,420033,6928,243,697,0.443377329070011,0.22221668568999,0.501190906977793
50000,697,34,420034,6992,243,697,0.457536354107693,0.211348899443907,0.461928101551818
50000,697,35,420035,6876,243,697,0.445754478633543,0.217869639804739,0.488766014135443
50000,697,36,420036,7134,243,697,0.454356392091218,0.216598441178774,0.476714854129946
50000,697,37,420037,6978,243,697,0.447097440697341,0.215911903169981,0.482919121239481
50000,697,38,420038,6984,243,697,0.450776066452306,0.209482779340354,0.464715842145356
50000,697,39,420039,7034,243,697,0.442344787931596,0.214414042301504,0.48472152979151
50000,697,40,420040,6982,243,697,0.44880375924994,0.213221379870256,0.475088221690926
50000,697,41,420041,7044,243,697,0.446417747016859,0.213940798584132,0.479239008784416
50000,697,42,420042,6974,243,697,0.448012235177532,0.216207169898114,0.482592110040116
50000,697,43,420043,6978,243,697,0.447880737296645,0.211048981058633,0.471216918888944
50000,697,44,420044,7018,243,697,0.446549067294609,0.22087511865531,0.494626760712925
50000,697,45,420045,6906,243,697,0.455071797450272,0.213855524209657,0.469937986506461
50000,697,46,420046,7002,243,697,0.448264619678791,0.216777081219574,0.483591770804727
50000,697,47,420047,6950,243,697,0.448936957708691,0.214755616862366,0.478364752945375
50000,697,48,420048,6952,243,697,0.448559665262515,0.207100403795128,0.461700905884893
50000,697,49,420049,6880,243,697,0.449830636501631,0.217374429462198,0.483236160064012
50000,697,50,420050,6946,243,697,0.446619610913598,0.219155181327203,0.490697622701571
